timestamp,action_type,hand_speed,leg_speed,movement_intensity,l_elbow_angle,r_elbow_angle,l_hand_speed,r_hand_speed
2.4361,forward_movement,0.2757,0.0895,0.1826,41.47,110.45,0.2038,0.2757
2.4695,punch_right,1.6477,0.2849,0.9663,47.48,147.49,0.2619,1.6477
2.5029,guard_position,1.5116,0.052,0.7818,55.8,93.7,0.3092,1.5116
2.5362,guard_position,2.8771,0.1055,1.4913,63.31,92.54,0.3197,2.8771
2.5696,punch_right,3.2618,0.2091,1.7354,75.92,155.04,0.5069,3.2618
2.603,punch_right,1.2955,0.2426,0.769,74.07,163.06,0.2948,1.2955
2.6364,forward_movement,0.6953,0.2209,0.4581,71.65,161.86,0.4838,0.6953
2.6697,forward_movement,0.5757,0.1217,0.3487,72.38,163.64,0.4636,0.5757
2.6697,guard_position,0.0,0.0,0.0,156.66,168.55,0.0,0.0
2.7031,guard_position,2.0829,0.2777,1.1803,91.4,88.96,1.1971,2.0829
2.7031,punch_right,2.994,0.3549,1.6745,57.17,106.95,2.2709,2.994
2.7365,kick_low,2.3905,1.6765,2.0335,56.4,113.09,0.8972,2.3905
2.7698,guard_position,1.5577,0.2535,0.9056,82.73,107.42,1.5577,1.3191
2.8032,guard_position,0.9827,0.3689,0.6758,91.98,111.66,0.9827,0.3442
2.8366,punch_left,3.0142,0.2758,1.645,125.57,99.68,3.0142,2.3406
2.87,punch_right,1.7189,0.593,1.156,34.19,119.86,0.7971,1.7189
2.9033,punch_right,3.3163,0.6718,1.994,169.23,133.55,2.4644,3.3163
2.9367,kick_low,1.5275,0.9985,1.263,154.11,155.09,1.2585,1.5275
2.9701,punch_right,11.9271,0.4778,6.2025,132.62,127.42,1.7572,11.9271
3.0034,kick_low,12.1289,10.8913,11.5101,128.91,13.93,0.8384,12.1289
3.0368,kick_low,12.4439,4.5267,8.4853,99.99,130.7,12.4439,2.3855
3.0702,kick_low,11.3479,5.2624,8.3052,123.93,121.81,11.3479,0.9015
3.1036,kick_low,7.2187,3.7419,5.4803,123.19,95.03,1.6413,7.2187
3.1369,kick_low,7.8115,5.9727,6.8921,4.5,177.61,4.1244,7.8115
3.1703,kick_low,10.1597,7.7068,8.9332,89.17,20.5,1.9641,10.1597
3.2037,kick_low,2.5537,0.9226,1.7381,62.91,39.72,2.5537,0.3212
3.2371,kick_low,2.3029,0.983,1.6429,46.84,158.91,1.7436,2.3029
3.2704,punch_right,2.193,0.4717,1.3323,40.72,177.69,0.7634,2.193
3.3038,guard_position,1.152,0.7089,0.9304,62.59,179.1,1.152,1.109
3.3372,punch_right,4.1779,0.1929,2.1854,144.75,165.22,1.5726,4.1779
3.3705,kick_low,1.6104,1.1007,1.3556,38.28,170.49,1.6104,1.3389
3.4039,guard_position,1.3309,0.4844,0.9077,18.54,99.03,0.5286,1.3309
